YearsExperience,Salary
0.7,56726.38
0.6,43755.31
8.4,47903.37
6.0,67023.08
1.0,136519.79
9.9,109123.92
9.1,93465.51
9.3,61470.66
6.3,118091.51
1.9,148687.75
7.8,58008.93
7.1,48046.91
6.4,115601.36
8.9,59011.35
7.2,137560.17
1.8,41110.83
7.4,138183.14
4.3,53237.55
0.3,77682.71
2.7,49106.81
6.2,143914.83
8.6,81893.28
10.0,78117.95
7.8,75447.98
3.5,49957.89
9.5,89705.86
1.2,54668.22
9.5,105427.1
8.9,141801.49
0.7,77632.42
6.1,45399.51
5.4,133311.89
1.8,57516.95
7.8,135340.85
5.6,126570.29
2.4,76307.2
6.0,83583.88
8.2,139498.22
6.6,54611.42
0.0,42149.61
2.2,119720.45
9.2,128168.41
1.8,86003.93
5.3,62751.81
8.3,112731.39
2.8,73706.43
2.4,49744.82
6.0,74064.65
0.8,131531.26
7.1,90337.29
6.3,123768.47
2.6,63895.51
7.1,59672.86
5.4,49122.96
0.8,134255.52
0.5,64571.47
5.3,87512.9
2.4,123130.05
2.5,111405.94
2.2,83263.46
2.5,58670.51
8.3,119145.61
7.0,56039.6
2.5,104440.48
6.1,50760.17
8.6,101559.94
5.4,113931.38
9.5,106245.32
8.1,69344.67
6.0,99840.02
0.3,85563.67
4.6,149470.41
8.8,105334.98
3.5,69208.59
0.6,124682.71
0.5,136668.16
7.4,97863.58
9.6,108344.63
7.1,53605.63
3.7,83549.8
4.0,143009.22
8.3,100468.26
1.2,124722.9
0.3,53013.69
5.0,67271.03
5.4,114346.61
8.7,98357.7
2.7,114767.47
9.7,48405.26
5.5,147604.77
1.9,134170.07
3.9,62008.24
2.5,77311.56
4.6,52154.01
3.5,95016.96
5.7,91596.26
4.8,130121.3
1.3,85976.93
7.0,51400.66
4.1,54407.79
4.8,53262.91
9.3,41575.36
9.0,84888.33
7.7,136875.7
4.5,51853.57
4.6,132164.72
4.6,104373.47
7.5,66142.06
4.7,46167.01
5.1,119297.18
4.2,80196.47
8.3,114918.69
7.3,116720.24
9.8,68873.71
6.0,109947.74
4.8,73646.31
6.4,82556.18
0.3,111705.58
7.0,63646.48
2.2,60538.11
4.3,62600.39
3.3,95578.37
5.6,137173.27
0.6,134313.34
2.5,146038.67
7.2,73652.61
8.0,137313.18
5.5,123918.13
2.7,59326.63
0.7,54961.01
4.2,142152.76
1.0,50834.24
6.6,45717.93
5.5,102777.24
3.4,143014.4
8.7,62433.19
1.3,137594.98
1.7,104739.32
1.4,63639.04
5.4,73747.9
7.7,142900.58
7.4,91074.38
8.0,116848.09
1.9,95271.54
7.5,70627.54
8.5,93119.37
5.5,147112.03
6.2,52262.77
8.3,112733.2
1.1,82525.8
1.1,102486.15
2.8,124508.59
7.4,114804.41
8.3,106693.97
0.3,137746.56
5.6,45474.13
1.0,120630.68
2.7,84659.94
3.4,47048.75
7.0,110618.17
9.9,120422.74
5.9,104900.41
2.6,58323.8
9.9,74475.09
5.5,148671.32
4.7,55239.24
6.0,76724.16
9.4,138496.5
0.3,45518.46
7.2,112913.95
8.1,115823.81
2.2,140075.41
1.5,127930.36
0.7,59912.92
9.0,117228.6
0.7,121675.22
5.1,144952.38
8.4,148517.47
4.4,120728.88
5.0,48641.8
2.4,98196.7
0.1,134763.48
4.3,149564.46
3.9,41201.53
8.7,96956.31
1.2,82048.47
1.1,101392.75
5.2,96004.94
6.3,70414.56
5.4,93828.71
1.6,88360.14
3.5,67476.5
4.3,59256.19
5.9,106534.77
8.8,90623.0
2.3,117341.17
5.3,119563.33
4.9,80366.44
6.0,116538.1
8.1,68744.24
3.6,110014.09
9.7,60783.61
7.0,101917.41
5.7,125053.99
6.8,124207.42
7.0,105140.79
6.8,81265.59
4.6,51637.74
0.7,146312.41
4.3,96652.33
6.3,134603.88
7.4,82325.71
2.7,49602.97
9.6,146137.52
8.9,68551.22
2.2,93183.7
1.8,149523.38
2.5,80726.4
3.4,66656.34
2.6,113606.82
2.6,44857.7
2.7,123187.68
8.4,67848.57
3.9,61850.63
8.2,68156.52
0.9,143696.25
2.3,143769.71
5.0,51859.63
6.2,114939.01
1.3,126505.67
4.7,132693.29
5.2,137501.4
3.0,55700.36
2.5,112668.73
9.9,63966.23
3.4,43914.5
9.1,139896.07
0.6,142899.59
4.4,133858.44
2.9,114423.31
0.5,82907.89
8.6,113737.18
7.0,123092.49
3.7,68289.22
1.6,105100.21
0.7,124578.41
7.8,109696.31
5.6,59830.55
1.4,117525.24
4.4,132831.71
9.4,63184.95
5.7,141197.03
5.0,81151.53
7.2,104377.53
3.3,55535.84
2.3,114983.56
7.3,131849.5
8.2,136874.17
6.7,93215.09
7.6,110085.62
0.6,58530.2
8.1,126878.56
2.2,83418.9
0.8,55630.89
3.0,144888.45
4.9,102633.46
1.1,51302.7
6.0,125383.6
0.3,112431.29
0.1,47914.66
9.4,45922.97
8.4,73603.47
1.2,80395.27
7.2,118864.06
2.4,75596.05
8.7,53927.77
4.4,107759.97
0.8,84861.65
7.8,111086.41
9.0,112994.71
6.1,149426.58
0.8,73762.87
6.3,111609.79
0.1,72387.77
5.7,108843.46
8.1,52937.97
1.8,120236.43
3.9,44045.4
4.8,99343.68
5.7,129280.32
8.0,85761.38
2.2,90362.91
7.1,98068.02
3.8,85242.83
6.6,56653.02
8.0,40906.42
1.5,134597.53
6.3,89711.23
2.8,57319.23
5.8,112589.88
6.9,66264.82
6.9,120199.46
4.8,117944.4
8.1,43734.64
2.1,141325.27
1.8,100868.64
3.8,55860.98
4.0,85037.66
3.2,72663.92
9.4,84199.22
0.6,134605.35
0.9,102753.16
8.8,133682.67
3.8,147704.36
2.3,43638.38
5.9,126606.0
1.6,121390.54
7.7,50010.05
5.2,115548.92
4.3,40730.92
0.5,103110.84
8.3,65891.09
1.5,116829.72
9.0,77979.79
3.4,58474.26
2.0,99342.22
6.9,56979.5
1.9,74413.26
6.0,57919.72
7.6,120758.28
2.6,115199.29
7.6,99497.42
4.2,54233.82
5.9,94403.54
3.6,111905.89
6.3,40966.75
6.4,101492.18
2.9,48837.79
0.6,131650.7
9.8,115675.56
3.5,137651.96
8.4,121422.55
7.8,104468.81
6.0,117243.07
8.0,60951.06
1.1,73066.5
4.2,63467.88
5.2,99789.32
0.6,109036.69
8.6,61341.44
1.8,124306.64
6.3,43766.12
7.7,73720.79
8.1,67454.25
8.5,125777.36
0.8,106904.63
2.9,104856.98
7.6,40935.01
4.0,122659.07
3.5,42256.96
6.5,88970.26
8.6,101818.15
6.2,59131.72
4.6,103162.64
5.2,41084.45
9.9,44957.62
4.7,67565.06
6.0,82214.3
0.2,86409.04
8.7,144532.29
2.3,133597.25
8.4,90640.37
0.4,65704.96
3.1,68345.76
7.5,107357.9
1.0,85231.38
7.3,139811.17
2.4,144639.49
7.0,138905.75
5.7,147082.15
7.4,96752.42
1.7,110088.6
3.9,105887.74
9.5,53496.7
1.1,107392.54
6.2,109806.44
6.6,119996.5
3.2,45918.14
1.5,45063.58
4.9,119993.14
2.4,109025.87
3.2,125600.69
3.7,86397.36
5.3,71271.96
6.6,62599.22
9.3,72781.74
5.1,112339.76
3.0,105099.84
6.1,62802.82
3.1,142333.51
3.4,46865.08
5.5,95509.85
2.0,78169.04
0.6,135356.16
5.0,113072.09
10.0,111752.14
8.0,87628.27
3.2,125910.06
9.4,69959.35
2.4,40228.05
7.2,49510.54
7.5,73842.74
1.2,108594.9
6.3,78720.54
0.9,83333.02
8.6,91344.21
5.5,138607.14
8.8,148812.49
5.1,85261.66
5.9,60977.72
2.8,101215.58
9.2,128034.54
1.0,122911.47
0.1,86533.2
1.8,78786.48
5.4,126371.15
3.7,40898.18
7.7,89331.62
7.9,55540.4
5.3,139240.67
10.0,87717.02
0.2,89982.55
4.0,116659.15
6.5,97880.38
6.0,70379.69
9.8,60054.89
5.5,106052.28
3.8,104723.61
2.9,82949.62
8.7,103879.41
5.1,137227.71
7.6,132308.6
9.2,56810.6
9.5,117951.19
1.1,78801.69
8.1,148150.91
7.7,121410.25
4.9,100888.79
3.6,47900.81
2.3,111051.29
0.7,95866.3
7.8,51717.28
6.6,56014.36
2.8,88598.37
5.4,56894.89
5.6,86662.51
7.3,98907.42
8.6,108768.19
7.5,93855.98
7.7,107125.0
2.0,128664.54
8.5,65585.55
9.1,103309.88
3.9,107835.51
8.8,116279.43
5.5,133440.93
0.8,58672.51
7.2,120396.27
4.7,75603.59
9.8,129999.9
9.6,51523.69
5.4,133845.39
6.1,106622.42
8.0,51185.2
6.1,112841.02
6.9,56192.91
8.8,52215.06
9.6,87211.0
6.3,116812.3
9.7,94359.94
5.8,137244.83
2.0,145752.64
3.3,57561.5
6.9,143527.64
0.5,52165.59
1.8,84945.82
9.0,54990.18
8.3,118823.0
5.5,50154.36
1.5,98878.05
9.4,116013.83
5.7,89140.31
5.4,82383.78
5.9,108640.26
9.9,86189.03
1.3,106301.15
9.0,110341.78
8.4,84346.4
4.2,66837.76
3.3,133826.24
3.3,116567.59
6.4,117635.26
5.3,127042.68
6.2,41753.24
5.8,108361.01
3.7,104352.09
9.6,60141.37
7.0,81764.55
7.9,88873.03
4.6,137311.17
1.7,111993.49
2.3,141796.55
9.5,135957.39
0.7,42444.12
9.0,136490.97
7.3,58054.16
7.7,116428.69
0.6,65695.71
8.4,81430.39
7.6,143892.2
7.9,95196.45
5.6,149313.4
9.8,45068.49
6.0,92656.7
3.4,133730.28
7.5,41680.18
0.8,132222.68
6.5,46769.51
3.3,79173.66
2.7,143102.1
4.3,126473.7
3.6,73950.14
6.8,91245.91
7.6,62097.9
5.6,122043.99
4.3,125388.38
6.0,147735.44
0.4,100057.2
8.1,54840.92
5.9,50732.54
9.3,45628.18
4.2,82505.36
3.2,147462.72
4.8,95022.43
4.3,113299.68
6.5,72092.35
2.5,113870.89
5.8,82763.51
4.7,135290.47
1.6,46861.37
3.0,46355.09
5.7,141047.08
10.0,139495.03
0.8,107442.76
4.4,69289.7
5.2,134851.36
8.7,63743.83
0.3,62652.58
3.3,61765.53
2.1,56619.67
0.1,76905.1
6.8,110307.16
0.2,107356.13
2.2,90398.29
7.8,71501.6
5.2,90359.99
7.0,43105.21
1.4,110158.05
2.9,95131.02
2.8,60768.66
8.6,105424.98
3.3,135507.92
7.8,129598.58
8.8,113328.3
2.6,118750.74
3.7,120595.25
2.9,66278.4
6.5,43682.53
2.1,49116.47
6.2,88605.44
2.0,139707.42
0.1,130415.19
2.0,48377.51
1.6,143228.59
3.6,136183.12
4.6,107467.08
9.7,69380.65
3.7,148713.18
0.0,69116.85
